case name,fixed cost natgas ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (kW),capacity factor wind series (kW),capacity natgas (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW)
renew100nuc100,-1.0,0.0195287,0.0206486,0.0722039,0.00162423,-1.0,0.029679,1e-08,1.05e-08,1.1e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.3378348484575182,0.6630423295255852,1.0400711518629795,2.1639486957527256,0.0,0.0,0.0,0.09890032590553631,optimal,0.0,0.06598816817850084,0.23753021593410553,0.6971792355772817,0.0069645611582902995,0.006266941468402333,0.08542061996219279,0.0,0.0,0.0,1.018132420008959e-22,0.0,0.34289191628569793,0.0
renew100nuc095,-1.0,0.0195287,0.0206486,0.0685940660195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,1.0450054999999999e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.24227138657180167,0.6269536418507826,1.0786246267475676,2.1098996839730817,0.0,0.0,0.0,0.09509118185389184,optimal,0.0,0.047322071938203154,0.017962602883812157,0.9353926282789422,0.006758772606341043,0.0060814695053832135,0.10467418337873378,0.0,0.0,0.0,7.301329458328269e-23,0.20663909643159145,0.14323199846862517,0.0
renew100nuc090,-1.0,0.0195287,0.0206486,0.06498387101950001,0.00162423,-1.0,0.029679,1e-08,1.05e-08,9.900055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11927919001416744,0.5140682517776326,1.1500330439754372,2.0783442072959115,0.0,0.0,0.0,0.09105347514604245,optimal,0.0,0.006861237447737842,0.012443845476531337,0.9813494965818054,0.006535081067227829,0.005880501561153315,0.07865386491662853,0.0,0.0,0.0,0.01643717385230303,0.1717174628021996,0.16868354739363198,0.0
renew100nuc085,-1.0,0.0195287,0.0206486,0.0613736760195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,9.350054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.07218035496213764,0.5058155427678264,1.1651521840436507,2.1664949062999215,0.0,0.0,0.0,0.08688253936539103,optimal,0.0,0.004135319711264287,0.004093288949282519,0.9933783449134173,0.01604443912390939,0.014437485549945242,0.18423996808163917,0.0,0.0,0.0,0.009963431273639998,0.17711154480912145,0.17177383913023336,0.0
renew100nuc080,-1.0,0.0195287,0.0206486,0.0577634810195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,8.800054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.07218035496213732,0.5058155427678274,1.1651521840436503,2.166494906299922,0.0,0.0,0.0,0.08267611222950337,optimal,0.0,0.002092302929436797,0.004093288949282552,0.9956486988130132,0.018314793023505454,0.016480502331772735,0.20639049327065204,0.0,0.0,0.0,0.012006448055467427,0.1771115448091218,0.16950348523063705,0.0
renew100nuc075,-1.0,0.0195287,0.0206486,0.0541532860195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,8.250055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.07826981011520437,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc070,-1.0,0.0195287,0.0206486,0.0505430910195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,7.700054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.07330093571328355,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc065,-1.0,0.0195287,0.0206486,0.04693289601950001,0.00162423,-1.0,0.029679,1e-08,1.05e-08,7.1500550000000005e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.0683320613113594,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc060,-1.0,0.0195287,0.0206486,0.043322701019500004,0.00162423,-1.0,0.029679,1e-08,1.05e-08,6.600055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.06336318690943792,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc055,-1.0,0.0195287,0.0206486,0.0397125060195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,6.050054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.058394312507514416,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc050,-1.0,0.0195287,0.0206486,0.036102311019500004,0.00162423,-1.0,0.029679,1e-08,1.05e-08,5.500055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.05342543810559197,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc045,-1.0,0.0195287,0.0206486,0.0324921160195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,4.950055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.04845656370366944,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc040,-1.0,0.0195287,0.0206486,0.0288819210195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,4.400055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.043487689301746076,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc035,-1.0,0.0195287,0.0206486,0.0252717260195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,3.850055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.038518814899825574,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc030,-1.0,0.0195287,0.0206486,0.021661531019500004,0.00162423,-1.0,0.029679,1e-08,1.05e-08,3.300055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.3763450040102851,2.3002882590069564,0.0,0.0,0.0,0.033549940497902504,optimal,0.0,0.0,0.0,1.000308319547674,0.003080468619463238,0.0027721490717890628,0.02001847991447433,0.0,0.0,0.0,0.0,0.0,0.376036684462611,0.0
renew100nuc025,-1.0,0.0195287,0.0206486,0.0180513360195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,2.7500549999999996e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.028581066095979508,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc020,-1.0,0.0195287,0.0206486,0.0144411410195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,2.2000549999999996e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.023612191694056758,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew100nuc015,-1.0,0.0195287,0.0206486,0.0108309460195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,1.6500549999999998e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.3763450040102851,2.3002882590069564,0.0,0.0,0.0,0.018643317292134722,optimal,0.0,0.0,0.0,1.000308319547674,0.003080468619463238,0.0027721490717890628,0.02001847991447433,0.0,0.0,0.0,0.0,0.0,0.376036684462611,0.0
renew100nuc010,-1.0,0.0195287,0.0206486,0.0072207510195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,1.1000549999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.012706547156173982,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
renew100nuc005,-1.0,0.0195287,0.0206486,0.0036105560195,0.00162423,-1.0,0.029679,1e-08,1.05e-08,5.50055e-10,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.006353591225883543,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
renew100nuc000,-1.0,0.0195287,0.0206486,7.22039e-10,0.00162423,-1.0,0.029679,1e-08,1.05e-08,1.1e-16,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,1.270591186058103e-09,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
renew095nuc100,-1.0,0.018552265,0.01961617,0.0722039,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,1.1e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.5821597459039933,0.7508809951045016,0.9411235379148584,2.5545012354950614,0.0,0.0,0.0,0.09763168905321805,optimal,0.0,0.11371134563193733,0.26899425781082537,0.6182443485476949,0.009381384949741464,0.008431432959283657,0.8672555909830258,0.0,0.0,0.0,1.7544540287517605e-22,3.537602334434614e-06,0.32287918936716337,0.0
renew095nuc095,-1.0,0.018552265,0.01961617,0.0685940660195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,1.0450054999999999e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.337834848457514,0.6630423295255875,1.0400711518629806,2.1639486957527097,0.0,0.0,0.0,0.0941314226157695,optimal,0.0,0.0659881681785,0.2375302159341063,0.6971792355772815,0.006964561158290255,0.006266941468402296,0.08542061996219344,0.0,0.0,0.0,1.0181324200089463e-22,0.0,0.34289191628569915,0.0
renew095nuc090,-1.0,0.018552265,0.01961617,0.06498387101950001,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,9.900055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.24227138657180164,0.6269536418507827,1.0786246267475676,2.109899683973082,0.0,0.0,0.0,0.090313288062158,optimal,0.0,0.04732207193820315,0.01796260288381216,0.9353926282789424,0.006758772606341043,0.006081469505383213,0.10467418337873377,0.0,0.0,0.0,7.301329458328269e-23,0.2066390964315915,0.14323199846862517,0.0
renew095nuc085,-1.0,0.018552265,0.01961617,0.0613736760195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,9.350054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11927919001416744,0.5140682517776326,1.1500330439754372,2.0783442072959115,0.0,0.0,0.0,0.08625442319008067,optimal,0.0,0.006861237447737842,0.012443845476531337,0.9813494965818054,0.006535081067227829,0.005880501561153315,0.07865386491662853,0.0,0.0,0.0,0.01643717385230303,0.1717174628021996,0.16868354739363198,0.0
renew095nuc080,-1.0,0.018552265,0.01961617,0.0577634810195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,8.800054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0721803549621371,0.5058155427678271,1.1651521840436503,2.1664949062999246,0.0,0.0,0.0,0.08208341366002056,optimal,0.0,0.004135319711264264,0.004093288949282555,0.9933783449134173,0.016044439123909418,0.014437485549945268,0.18423996808163953,0.0,0.0,0.0,0.009963431273639918,0.1771115448091217,0.17177383913023309,0.0
renew095nuc075,-1.0,0.018552265,0.01961617,0.0541532860195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,8.250055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.07218035496213723,0.5058155427678271,1.1651521840436503,2.166494906299925,0.0,0.0,0.0,0.0778769865239042,optimal,0.0,0.0020923029294367943,0.004093288949282551,0.9956486988130132,0.018314793023505464,0.01648050233177274,0.2063904932706522,0.0,0.0,0.0,0.012006448055467415,0.1771115448091217,0.16950348523063705,0.0
renew095nuc070,-1.0,0.018552265,0.01961617,0.0505430910195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,7.700054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.07330093571328355,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc065,-1.0,0.018552265,0.01961617,0.04693289601950001,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,7.1500550000000005e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.06833206131135826,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc060,-1.0,0.018552265,0.01961617,0.043322701019500004,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,6.600055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.06336318690943792,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc055,-1.0,0.018552265,0.01961617,0.0397125060195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,6.050054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.058394312507514416,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc050,-1.0,0.018552265,0.01961617,0.036102311019500004,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,5.500055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.05342543810559197,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc045,-1.0,0.018552265,0.01961617,0.0324921160195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,4.950055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.04845656370366944,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc040,-1.0,0.018552265,0.01961617,0.0288819210195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,4.400055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.043487689301746076,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc035,-1.0,0.018552265,0.01961617,0.0252717260195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,3.850055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.03851881489982533,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc030,-1.0,0.018552265,0.01961617,0.021661531019500004,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,3.300055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.3763450040102851,2.3002882590069564,0.0,0.0,0.0,0.033549940497902504,optimal,0.0,0.0,0.0,1.000308319547674,0.003080468619463238,0.0027721490717890628,0.02001847991447433,0.0,0.0,0.0,0.0,0.0,0.376036684462611,0.0
renew095nuc025,-1.0,0.018552265,0.01961617,0.0180513360195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,2.7500549999999996e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.028581066095979626,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc020,-1.0,0.018552265,0.01961617,0.0144411410195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,2.2000549999999996e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.023612191694056758,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.3760366844626108,0.0
renew095nuc015,-1.0,0.018552265,0.01961617,0.0108309460195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,1.6500549999999998e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.3763450040102851,2.3002882590069564,0.0,0.0,0.0,0.01864331729213443,optimal,0.0,0.0,0.0,1.000308319547674,0.003080468619463238,0.0027721490717890628,0.02001847991447433,0.0,0.0,0.0,0.0,0.0,0.376036684462611,0.0
renew095nuc010,-1.0,0.018552265,0.01961617,0.0072207510195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,1.1000549999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.012706547156173982,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
renew095nuc005,-1.0,0.018552265,0.01961617,0.0036105560195,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,5.50055e-10,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.006353591225883543,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
renew095nuc000,-1.0,0.018552265,0.01961617,7.22039e-10,0.00162423,-1.0,0.029679,9.499999999999999e-09,9.975e-09,1.1e-16,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,1.270591186058103e-09,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
renew090nuc100,-1.0,0.01757583,0.01858374,0.0722039,0.00162423,-1.0,0.029679,9.000000000000001e-09,9.45e-09,1.1e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.5919112927922706,0.7543431527516228,0.9374061096437305,2.5687510470840853,0.0,0.0,0.0,0.096278479152562,optimal,0.0,0.11561608316568259,0.27023808885582296,0.6151130334072538,0.009552234731596866,0.00858502930283745,0.8796226315189262,0.0,0.0,0.0,1.7838422522506785e-22,0.0,0.3222930762364766,0.0
renew090nuc095,-1.0,0.01757583,0.01858374,0.0685940660195,0.00162423,-1.0,0.029679,9.000000000000001e-09,9.45e-09,1.0450054999999999e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.5821597459039946,0.7508809951045021,0.9411235379148583,2.554501235495061,0.0,0.0,0.0,0.09289071557086616,optimal,0.0,0.11371134563193756,0.2689942578108256,0.6182443485476946,0.009381384949741453,0.008431432959283643,0.8672555909830237,0.0,0.0,0.0,1.7544540287517642e-22,3.537602334442487e-06,0.32287918936716364,0.0
renew090nuc090,-1.0,0.01757583,0.01858374,0.06498387101950001,0.00162423,-1.0,0.029679,9.000000000000001e-09,9.45e-09,9.900055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.33783484845751643,0.6630423295255896,1.040071151862979,2.163948695752725,0.0,0.0,0.0,0.08936214383999756,optimal,0.0,0.06598816817850049,0.2375302159341071,0.6971792355772803,0.006964561158290296,0.006266941468402332,0.08542061996219714,0.0,0.0,0.0,1.0181324200089535e-22,0.0,0.34289191628569865,0.0
renew090nuc085,-1.0,0.01757583,0.01858374,0.0613736760195,0.00162423,-1.0,0.029679,9.000000000000001e-09,9.45e-09,9.350054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.24227138657180247,0.6269536418507851,1.0786246267475663,2.109899683973084,0.0,0.0,0.0,0.08553539427043502,optimal,0.0,0.0473220719382033,0.017962602883812323,0.9353926282789421,0.006758772606341071,0.006081469505383239,0.104674183378735,0.0,0.0,0.0,7.301329458328292e-23,0.20663909643159217,0.14323199846862428,0.0
