time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.0014479519688661566,1.0372552745122645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5778624977860926,0.5984082019033493,0.0,1.05e-09
1.0,1.042828507922239,0.0,0.497820685,0.0,1.042828507922239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5990800685513489,0.5984082019033493,0.0,1.05e-09
2.0,1.0149995439386235,0.0,0.503230723,0.0,1.0149995439386235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6447523806699422,0.5984082019033493,0.0,1.05e-09
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.9965781807332512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6831585426021504,0.5984082019033493,0.0,1.05e-09
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.9745299515651223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700772678752,0.5984082019033493,0.0,1.05e-09
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.9327342160261554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956174062822997,0.5984082019033493,0.0,1.05e-09
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.9095512012868037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6401275144514407,0.5984082019033493,0.0,1.05e-09
7.0,0.886096726983435,0.0,0.445695679,0.0,0.8860967269834351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838935323552649,0.5984082019033493,0.0,1.05e-09
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.8645980904409468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5272952026409697,0.5984082019033493,0.0,1.05e-09
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.854500717590034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47347198378874633,0.5984082019033493,0.0,1.05e-09
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.8507692735001141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43711919184122083,0.5984082019033493,0.0,1.05e-09
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.8588841076002471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4056912702505294,0.5984082019033493,0.0,1.05e-09
12.0,0.8701652183371611,0.001713511,0.370354595,0.0010621568764470144,0.8691030614607141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35239778048783255,0.5984082019033493,0.0,1.05e-09
13.0,0.8873338658493106,0.022835818,0.353402923,0.014155275990637066,0.8731785898586736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29241237031714745,0.5984082019033493,0.0,1.05e-09
